Model A (Base DistilmBERT),Model B (DAPT-DistilmBERT),Model C (XLM-R Base),Model D (Optimized DAPT)
92.66030000003411,93.52660000013202,184.3244000001505,31.15650000017922
93.78459999993538,92.8487999999561,185.21640000017214,31.07849999969403
93.52629999989404,93.44280000004801,183.8158000000476,30.605799999648298
92.95059999999467,92.75760000036826,186.75349999966784,31.240299999808485
93.28059999984362,92.88560000004509,184.40989999999147,31.00640000002386
96.2706000000253,93.34420000004684,189.30409999984477,30.843000000004395
93.62799999985327,92.56619999996474,189.20810000008714,30.709099999967293
93.5432999999648,92.76099999988219,187.77219999992667,30.656399999770656
93.20049999996627,92.6193999998759,185.55620000006456,30.279999999947904
93.90480000001844,93.14319999975851,184.3420000000151,30.590399999709916
93.64340000001903,93.52180000041699,183.31790000002002,31.769299999723444
93.7315999999555,92.90020000025834,185.3227000001425,31.02100000023711
93.88550000016949,93.7300000000505,184.26439999984723,30.8298999998442
92.90270000019518,92.84100000013495,183.6463999998159,30.666199999814125
93.186199999991,93.6466000002838,184.32650000022477,30.338300000039453
92.65430000004926,93.05760000006558,183.60679999977947,30.89049999971394
93.18750000011278,93.43660000013188,185.44480000036856,30.6073000001561
93.42660000015712,92.77179999980945,184.6040999998877,30.85030000011102
94.1173000001072,92.75519999982862,184.7274000001562,30.75459999990926
93.51100000003498,92.135700000199,183.93369999967035,31.06209999987186
93.03859999999986,92.96109999968394,184.89350000027116,31.682899999850633
92.90469999996276,93.0025000002388,185.4342000001452,31.199700000343
93.92499999989923,92.60930000027656,184.44229999977324,35.21440000031362
93.61390000003667,92.67189999991388,185.7046000000082,33.92809999968449
93.81129999997029,92.07950000018172,183.53079999997135,32.51499999987573
92.57099999990714,93.3046000000104,185.24680000018634,31.786900000042806
93.31229999997959,92.15219999987312,184.06279999999242,30.8577000000696
93.03520000003118,92.99499999997352,184.1842999997425,30.742800000098214
92.78459999995903,92.55500000017491,184.321700000055,30.700100000103703
93.72030000008635,93.09219999977358,183.1422999998722,32.75439999970331
94.20910000017102,92.97220000007655,184.6955999999409,31.825100000332895
93.93740000018624,92.54349999991973,184.17150000004767,32.34130000009827
94.65700000009747,92.66290000005029,184.64190000031522,31.358499999896594
92.55930000017543,93.81039999971108,184.11420000029466,31.23150000010355
93.5465000000022,92.68019999990429,184.11639999976614,32.439399999930174
98.82229999993797,92.48040000011315,183.63739999995232,32.352199999877485
94.02990000012323,93.26999999984764,184.01680000033593,33.753600000181905
94.5444999999836,92.70479999986492,183.67869999974573,32.42399999999179
93.76889999998639,94.22069999982341,184.0543000002981,32.86560000015015
93.75089999980446,93.21780000027502,183.67069999976593,35.02630000002682
94.30350000002363,93.51610000021537,184.68299999994997,33.66580000010799
93.88079999985166,92.64789999997447,183.52920000006634,32.12589999975535
94.12339999994401,93.56949999983044,183.50799999961964,33.70889999996507
92.7243000000999,93.24530000003506,185.68709999999555,31.10370000013063
93.51799999990362,93.011800000113,182.6960999997027,30.190099999799713
94.06419999982063,92.7455999999438,184.43489999981466,31.13470000016605
92.6292999999987,93.66570000020147,183.69869999969524,31.092400000034104
92.81880000003184,93.53379999993194,184.7578000001704,30.769499999678374
93.92179999986183,92.49339999996664,185.02360000002227,30.995200000234036
92.89239999998244,92.07370000012816,183.98800000022675,32.553700000335084
94.79069999997591,92.87749999975858,184.15060000006633,31.527799999821582
94.36760000016875,93.28460000006089,183.43619999996008,32.00939999987895
93.07400000011512,92.58120000004055,184.45870000005016,31.66209999972125
99.20440000018971,92.77130000009493,183.59529999997903,30.4759999999078
98.58550000012656,93.96419999984573,185.0233999998636,30.434000000241213
96.65150000000722,93.83549999984098,183.30070000001797,30.296200000066165
92.82050000001618,92.2072999996999,183.0061000000569,30.15800000002855
92.49610000006214,92.91399999983696,184.1121999996176,30.42989999994461
93.77380000000812,92.58529999988241,186.27489999971658,29.879000000164524
94.7936000000027,93.76309999970545,184.894400000303,30.25359999992361
93.99229999985437,92.92349999986982,184.96330000016314,30.334600000060163
94.81200000004719,93.28330000016649,182.92490000021644,30.189799999789102
93.35570000007465,92.62639999997191,183.23319999990417,30.632400000285998
93.03890000001047,93.09489999986909,183.2243999997445,30.48690000014176
96.06850000000122,92.67629999976634,184.0081000000282,31.210099999952945
96.41369999985727,92.66690000004019,183.87070000017047,31.05760000016744
98.6184000000776,92.9095999999845,183.65220000032423,30.95930000017688
95.31210000000101,92.64849999999569,183.64440000004834,30.88369999977658
93.86389999986022,93.27319999965766,183.68080000027476,30.642600000192033
94.28309999998419,93.0634999999711,183.27069999986634,30.56930000002467
93.2505000000674,92.4021000000721,183.73030000020663,31.046600000081526
94.4524999999885,91.72259999968446,183.063200000106,30.362099999820202
94.34280000004946,92.69699999958902,183.1574000002547,31.241099999988364
93.32180000001244,91.99179999995977,183.11910000011267,30.365399999936926
93.28189999996539,93.2358000000022,183.55460000020685,31.17740000016056
94.66689999999289,92.35609999996086,183.3310000001802,31.419299999924988
95.44519999985823,92.64870000015435,183.34109999977954,31.09309999990728
99.62599999994382,93.3629999999539,183.21100000002843,31.283199999961653
